n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
5,5,0.7150000000000001,0.016035674514745465,0.7164060987596862,0.018546118365213398,0.7150000000000001,0.016035674514745482,0.7025152039327649,0.01652115160481628
10,5,0.7291071428571428,0.019332779871270977,0.7275217369204071,0.022690441224587646,0.7291071428571428,0.01933277987127099,0.7203236063403511,0.01976161918045036
25,5,0.7591071428571429,0.008161710630018897,0.7572406615197818,0.008856466934777192,0.7591071428571429,0.008161710630018904,0.7535172428724763,0.008138073191635583
50,5,0.7832142857142858,0.01112888317920206,0.7810677907360652,0.011830048289082214,0.7832142857142856,0.011128883179202046,0.7793420351875411,0.011093154147986374
75,5,0.7982142857142857,0.009583148474999114,0.7967968123987619,0.010658184853547296,0.7982142857142857,0.009583148474999114,0.7951953785848898,0.010048953121119487
100,5,0.8026785714285716,0.008973103233143665,0.8013962800431467,0.008503705363595133,0.8026785714285716,0.008973103233143626,0.7999878259055355,0.008894595677890416
150,5,0.8121428571428572,0.013429711197830837,0.8107514348301905,0.014015394714492412,0.8121428571428572,0.013429711197830835,0.8099572912446977,0.013252571712985987
200,5,0.8160714285714287,0.013049161361746517,0.8149788367243967,0.013396993192914004,0.8160714285714284,0.013049161361746504,0.8142313686868512,0.013289386742423515
250,5,0.81875,0.01324922985824969,0.8175031695449917,0.013390032829891242,0.8187499999999999,0.013249229858249665,0.8168531624362144,0.013225561683345837
300,5,0.82125,0.013349931208261204,0.8200507933224432,0.013294933122961698,0.82125,0.013349931208261182,0.8193410521126158,0.013155644733900415
5,10,0.7669642857142857,0.01163458294947281,0.7643406208355505,0.01201630588513646,0.7669642857142858,0.01163458294947282,0.762284019365995,0.012833124155192966
10,10,0.7842857142857144,0.015232048651525814,0.78207707423427,0.017271323687254276,0.7842857142857144,0.015232048651525837,0.7799879141388508,0.015527225827648617
25,10,0.80625,0.012733783204290777,0.8038710747845974,0.01245508583291076,0.80625,0.012733783204290743,0.8028612266285945,0.012389245334779097
50,10,0.8196428571428571,0.012345990012459708,0.8178373853348081,0.012452524298993944,0.8196428571428571,0.012345990012459729,0.8168603671795427,0.012228243547976619
75,10,0.823392857142857,0.012227905939835708,0.8218902564142836,0.0123049185813539,0.823392857142857,0.012227905939835748,0.8210765443762457,0.01204366922153242
100,10,0.8258928571428571,0.012091540726592994,0.8245920619029148,0.012706306104114601,0.8258928571428571,0.01209154072659299,0.8237081808654878,0.012000440170509752
150,10,0.8296428571428571,0.010233249129924583,0.828322405517316,0.011071769185253568,0.8296428571428571,0.010233249129924564,0.8275250397002167,0.010315978472048154
200,10,0.8303571428571429,0.011845088536983576,0.8290418071193197,0.012845663693213478,0.8303571428571429,0.011845088536983567,0.8284707846858884,0.012073772713501895
250,10,0.8312500000000002,0.010721723608770063,0.8299529226192647,0.011426625492863008,0.8312500000000002,0.010721723608770049,0.8292968873773837,0.010747818517124181
300,10,0.83375,0.0117491315354257,0.83237679275903,0.012497047757935415,0.83375,0.011749131535425698,0.8316005741521755,0.011903453523585402
5,25,0.7875,0.01468200342221034,0.7848650415755796,0.014688006713734438,0.7874999999999999,0.014682003422210325,0.7847547097585663,0.014965129701629231
10,25,0.8073214285714286,0.015940938504622724,0.8051336986729206,0.015579822639275268,0.8073214285714286,0.015940938504622724,0.8044935598896427,0.01602925544378108
25,25,0.8225000000000001,0.010076239985475643,0.8208217693988615,0.009131626845258109,0.8225000000000001,0.010076239985475638,0.8201548039138841,0.0098687975041805
50,25,0.8228571428571427,0.011622242925194988,0.8204609172990971,0.011831925909893792,0.822857142857143,0.01162224292519498,0.8200702155779765,0.011884760149679884
75,25,0.8258928571428571,0.01107286856994822,0.8237218249044949,0.010801577542631918,0.8258928571428571,0.011072868569948203,0.8233051528474779,0.010928858901714765
100,25,0.8258928571428571,0.011905505929130923,0.8237695906205273,0.011437295594181756,0.8258928571428571,0.011905505929130901,0.8232071363500003,0.011897248961718232
150,25,0.8273214285714285,0.009246138189999744,0.8253754449089652,0.008605364536497235,0.8273214285714285,0.009246138189999722,0.824752422491381,0.0091734347971457
200,25,0.8273214285714285,0.009246138189999744,0.8253754449089652,0.008605364536497235,0.8273214285714285,0.009246138189999722,0.824752422491381,0.0091734347971457
250,25,0.8273214285714285,0.009246138189999744,0.8253754449089652,0.008605364536497235,0.8273214285714285,0.009246138189999722,0.824752422491381,0.0091734347971457
300,25,0.8273214285714285,0.009246138189999744,0.8253754449089652,0.008605364536497235,0.8273214285714285,0.009246138189999722,0.824752422491381,0.0091734347971457
