n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
5,5,0.6310714285714285,0.025432483647685605,0.6348361960168977,0.023396197861210024,0.6310714285714286,0.025432483647685585,0.6114488689388637,0.03104651159067719
10,5,0.6571428571428571,0.02159164142884548,0.6578507454076123,0.025514752576623216,0.6571428571428571,0.02159164142884548,0.6396823017396247,0.02237937591240634
25,5,0.6757142857142857,0.018405855323893033,0.6771124306713288,0.02846675198866354,0.6757142857142857,0.018405855323893026,0.6604215670479158,0.02043114449696922
50,5,0.6826785714285714,0.018368569262049075,0.6850230088646025,0.025024579371602924,0.6826785714285714,0.018368569262049075,0.6669122253858802,0.02039957591604858
75,5,0.6967857142857142,0.015252968931473295,0.6973108037941564,0.02194969777065761,0.6967857142857143,0.015252968931473281,0.6805455937479146,0.016457996149056416
100,5,0.6980357142857143,0.016119966387264286,0.6974092155234601,0.022544759231494474,0.6980357142857143,0.016119966387264265,0.6827907114023825,0.017543012195591248
150,5,0.6969642857142857,0.015341561863388064,0.6948189999029689,0.019696873399296773,0.6969642857142857,0.015341561863388036,0.6818349516326121,0.016801159570112776
200,5,0.6980357142857143,0.015329085665718592,0.6970088553598943,0.02008499396611419,0.6980357142857143,0.01532908566571855,0.6822790332353768,0.017017634678614463
250,5,0.6992857142857142,0.01519851630782374,0.6983182447314917,0.019512025120538054,0.6992857142857142,0.015198516307823729,0.6837581703726899,0.01688833929722044
300,5,0.698392857142857,0.012485961504580962,0.6973069364406825,0.017025783768193383,0.698392857142857,0.012485961504580933,0.6828084023184608,0.014061384384229764
350,5,0.7001785714285714,0.013326023719146884,0.6990687184864302,0.017372128268698897,0.7001785714285714,0.013326023719146885,0.6847005433736405,0.01506630847243661
400,5,0.7014285714285715,0.011946949059769812,0.7008981696829961,0.015668112615441196,0.7014285714285715,0.011946949059769809,0.686069512083977,0.013280059323344843
450,5,0.7003571428571428,0.014502814645890679,0.6991053456956642,0.019017954554499755,0.7003571428571428,0.01450281464589066,0.6849132964225431,0.01638048683142142
500,5,0.7005357142857143,0.014219713608298917,0.699338389966286,0.01840892490319596,0.7005357142857143,0.014219713608298858,0.6853441594391739,0.015812228216974308
5,25,0.7594642857142857,0.018176606685854347,0.7591461590537121,0.019789623219071312,0.7594642857142857,0.018176606685854385,0.7578261498890612,0.019419553990389308
10,25,0.78625,0.015751781564285992,0.7842993986142728,0.01700808600489528,0.78625,0.015751781564285958,0.7839022287422717,0.01687848327388931
25,25,0.8096428571428571,0.011383841036078032,0.8072654454828498,0.01264460903021633,0.8096428571428571,0.011383841036078058,0.8068846514493362,0.011839975306829882
50,25,0.8207142857142855,0.012707462053326568,0.8182281478439981,0.013134809399000054,0.8207142857142857,0.012707462053326592,0.8178160897441531,0.013297137462704067
75,25,0.8232142857142858,0.012058530725810096,0.8207228106862651,0.012392259854383685,0.8232142857142858,0.012058530725810092,0.8203450030259891,0.012394228633580261
100,25,0.8262499999999999,0.01221747034506952,0.8238794958750221,0.013194213025869105,0.8262499999999999,0.012217470345069563,0.8233045823717842,0.012662020147107945
