n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
5,5,0.7326785714285714,0.01399366657033219,0.732468853348615,0.01620331227352695,0.7326785714285714,0.013993666570332176,0.7237260979837906,0.014434751766797246
10,5,0.7498214285714286,0.015920922250489227,0.750381330512311,0.017386414153763973,0.7498214285714286,0.0159209222504892,0.7421004585731491,0.01747046654821167
25,5,0.7746428571428571,0.015460614872795255,0.7732172305319989,0.01614213960188858,0.7746428571428571,0.015460614872795323,0.7698904342593349,0.01559396647325303
50,5,0.8082142857142856,0.010809104250301108,0.8059396725403358,0.011092926391656807,0.8082142857142858,0.01080910425030112,0.8048393172566982,0.011156595515046592
75,5,0.8144642857142858,0.011474517018869526,0.8127602636082492,0.012019460119375165,0.8144642857142858,0.011474517018869574,0.811730306332423,0.01136520150248193
100,5,0.8223214285714286,0.01217039943670624,0.8204455965152878,0.012397720173326354,0.8223214285714286,0.012170399436706206,0.8197354273389994,0.011836202836994072
150,5,0.8257142857142856,0.009656075596139848,0.8243263115455518,0.009989867997039962,0.8257142857142856,0.009656075596139811,0.8235623567670217,0.009407443699195479
200,5,0.8289285714285715,0.013734917516449573,0.8274049769648968,0.014674653148675654,0.8289285714285715,0.013734917516449587,0.8267700173758448,0.013883994839576896
250,5,0.8276785714285715,0.013952589182583963,0.826229708400089,0.014878244725357941,0.8276785714285715,0.013952589182583963,0.8255368852912902,0.014071662226221002
300,5,0.8273214285714285,0.014397996246643736,0.8256183284219867,0.015357495474083015,0.8273214285714285,0.014397996246643736,0.8250643194047308,0.014674695830328143
5,10,0.7835714285714286,0.014010746604237883,0.7811634106714609,0.014771197703764224,0.7835714285714286,0.014010746604237902,0.7794191348216801,0.014551954474849665
10,10,0.7969642857142858,0.014617792136255596,0.7946140969728488,0.015508208592782293,0.7969642857142857,0.0146177921362556,0.7934376071545602,0.014901416258547956
25,10,0.8162499999999999,0.011474517018869547,0.8139919358749393,0.011952981485063522,0.8162499999999999,0.011474517018869559,0.8131437506905271,0.011912870404043627
50,10,0.8258928571428571,0.009558159779337607,0.823842671249915,0.010556061302259095,0.8258928571428571,0.009558159779337596,0.8232071639620372,0.010158307668964266
75,10,0.8282142857142857,0.012443750992988823,0.8265268261221943,0.013339360736384809,0.8282142857142857,0.012443750992988853,0.8256453775166559,0.012791087640699304
