feature,f_score,p_value,family
Elevation,6113.844003901181,0.0,Continuous cartographic
Wilderness_Area4,1852.1804530805098,0.0,Wilderness area (binary)
Horizontal_Distance_To_Roadways,487.3259069576182,0.0,Continuous cartographic
Soil_Type3,371.04508004240296,0.0,Soil type (binary)
Soil_Type10,349.7420771996953,0.0,Soil type (binary)
Wilderness_Area1,324.1090069999382,0.0,Wilderness area (binary)
Soil_Type38,301.87774912075037,0.0,Soil type (binary)
Horizontal_Distance_To_Fire_Points,286.35789416984727,9.773e-321,Continuous cartographic
Soil_Type39,250.89057590651092,5.955768448030581e-285,Soil type (binary)
Wilderness_Area3,171.04154255826032,2.3569746651526404e-200,Wilderness area (binary)
Hillshade_9am,168.55000569015453,1.2811317555388821e-197,Continuous cartographic
Horizontal_Distance_To_Hydrology,146.6029687258958,2.9153150067216818e-173,Continuous cartographic
Soil_Type30,142.01093300239583,4.1847572137125487e-168,Soil type (binary)
Soil_Type40,139.90528921659967,9.851091391558112e-166,Soil type (binary)
Soil_Type29,122.16338585334896,1.4378279955094642e-145,Soil type (binary)
Slope,115.48156199030441,6.853828606764856e-138,Continuous cartographic
Soil_Type4,105.80516489076062,1.0911102696316322e-126,Soil type (binary)
Hillshade_3pm,89.49252247797375,1.397236916194186e-107,Continuous cartographic
Soil_Type22,81.45771160254901,4.570169095778824e-98,Soil type (binary)
Soil_Type17,75.64188034188032,3.8845858439845727e-91,Soil type (binary)
Soil_Type23,71.24806323522198,7.045926871803913e-86,Soil type (binary)
Soil_Type13,70.9440786567532,1.631153706131846e-85,Soil type (binary)
Soil_Type2,69.21049676524501,1.9649012061295315e-83,Soil type (binary)
Soil_Type12,65.68266872279678,3.446780509359689e-79,Soil type (binary)
Soil_Type6,59.61296955549071,7.397193927972013e-72,Soil type (binary)
Wilderness_Area2,55.817777981665415,2.9647427538623174e-67,Wilderness area (binary)
Hillshade_Noon,47.29295273133891,7.266459828489847e-57,Continuous cartographic
Soil_Type32,43.56930545767755,2.629951686813652e-52,Soil type (binary)
Soil_Type14,34.9897874229894,9.225157344971615e-42,Soil type (binary)
Soil_Type1,34.02550183771558,1.4233265756855367e-40,Soil type (binary)
Soil_Type33,31.09156892621334,5.9155099988266886e-37,Soil type (binary)
Soil_Type35,29.925791443197085,1.6253598674726967e-35,Soil type (binary)
Aspect,28.43392921931488,1.1300877341571682e-33,Continuous cartographic
Soil_Type24,27.197090362918726,3.809168931171095e-32,Soil type (binary)
Soil_Type31,25.989894204958148,1.1808423474478906e-30,Soil type (binary)
Vertical_Distance_To_Hydrology,23.809968376330808,5.826337121529241e-28,Continuous cartographic
Soil_Type11,21.009543615748395,1.674375704339824e-24,Soil type (binary)
Soil_Type5,18.532618986143387,1.9015765814546212e-21,Soil type (binary)
Soil_Type37,10.113924050632912,3.770941647635529e-11,Soil type (binary)
Soil_Type26,9.986259162628896,5.375974016831887e-11,Soil type (binary)
Soil_Type18,9.986259162628896,5.375974016831887e-11,Soil type (binary)
Soil_Type20,8.643516322573669,2.2023766154683942e-09,Soil type (binary)
Soil_Type16,5.4076666090663,1.3895332007554126e-05,Soil type (binary)
Soil_Type19,4.943152635756642,4.70052162687678e-05,Soil type (binary)
Soil_Type36,4.015075376884422,0.0005118957689071226,Soil type (binary)
Soil_Type9,3.0075282308657463,0.006176059713841657,Soil type (binary)
Soil_Type34,2.787079670712991,0.010436984832798668,Soil type (binary)
Soil_Type28,2.2542319749216295,0.035563575139489954,Soil type (binary)
Soil_Type21,2.2542319749216295,0.035563575139489954,Soil type (binary)
Soil_Type27,2.0025062656641603,0.06182526563215397,Soil type (binary)
Soil_Type25,1.0000000000000002,0.4233101857515855,Soil type (binary)
Soil_Type8,1.0000000000000002,0.4233101857515855,Soil type (binary)
Soil_Type7,,,Soil type (binary)
Soil_Type15,,,Soil type (binary)
