k,model,class,precision,recall,f1_score,support
1,naive_bayes,Spruce/Fir,0.5878467635402906,0.55625,0.5716120745022479,800.0
1,naive_bayes,Lodgepole Pine,0.533816425120773,0.27625,0.3640856672158155,800.0
1,naive_bayes,Ponderosa Pine,0.30412371134020616,0.07375,0.11871227364185111,800.0
1,naive_bayes,Cottonwood/Willow,0.5740281224152192,0.8675,0.6908909905425585,800.0
1,naive_bayes,Aspen,0.5666666666666667,0.82875,0.6730964467005076,800.0
1,naive_bayes,Douglas-fir,0.43722943722943725,0.505,0.46867749419953597,800.0
1,naive_bayes,Krummholz,0.7618025751072961,0.8875,0.8198614318706697,800.0
1,knn,Spruce/Fir,0.5177304964539007,0.5475,0.5321992709599028,800.0
1,knn,Lodgepole Pine,0.39035087719298245,0.33375,0.35983827493261455,800.0
1,knn,Ponderosa Pine,0.34198645598194133,0.37875,0.3594306049822064,800.0
1,knn,Cottonwood/Willow,0.5596620908130939,0.6625,0.6067544361763022,800.0
1,knn,Aspen,0.5894854586129754,0.65875,0.6221959858323495,800.0
1,knn,Douglas-fir,0.4504672897196262,0.30125,0.3610486891385768,800.0
1,knn,Krummholz,0.7945544554455446,0.8025,0.7985074626865671,800.0
1,decision_tree,Spruce/Fir,0.47584033613445376,0.56625,0.5171232876712328,800.0
1,decision_tree,Lodgepole Pine,0.34763948497854075,0.30375,0.32421614409606403,800.0
1,decision_tree,Ponderosa Pine,0.3425531914893617,0.4025,0.3701149425287356,800.0
1,decision_tree,Cottonwood/Willow,0.5572254335260116,0.6025,0.578978978978979,800.0
1,decision_tree,Aspen,0.5934466019417476,0.61125,0.6022167487684729,800.0
1,decision_tree,Douglas-fir,0.42402826855123676,0.3,0.3513909224011713,800.0
1,decision_tree,Krummholz,0.8037135278514589,0.7575,0.7799227799227799,800.0
1,random_forest,Spruce/Fir,0.5019108280254777,0.4925,0.4971608832807571,800.0
1,random_forest,Lodgepole Pine,0.39197530864197533,0.3175,0.35082872928176795,800.0
1,random_forest,Ponderosa Pine,0.35945945945945945,0.3325,0.34545454545454546,800.0
1,random_forest,Cottonwood/Willow,0.5662650602409639,0.64625,0.6036193812025686,800.0
1,random_forest,Aspen,0.5818181818181818,0.68,0.6270893371757925,800.0
1,random_forest,Douglas-fir,0.3941411451398136,0.37,0.38168923275306255,800.0
1,random_forest,Krummholz,0.7777777777777778,0.805,0.7911547911547911,800.0
1,gradient_boosting,Spruce/Fir,0.5503685503685504,0.56,0.5551425030978935,800.0
1,gradient_boosting,Lodgepole Pine,0.47572815533980584,0.245,0.3234323432343234,800.0
1,gradient_boosting,Ponderosa Pine,0.395,0.29625,0.3385714285714286,800.0
1,gradient_boosting,Cottonwood/Willow,0.5702614379084967,0.8725,0.6897233201581028,800.0
1,gradient_boosting,Aspen,0.6016713091922006,0.81,0.690463505594033,800.0
1,gradient_boosting,Douglas-fir,0.4859504132231405,0.3675,0.4185053380782918,800.0
1,gradient_boosting,Krummholz,0.7707373271889401,0.83625,0.802158273381295,800.0
1,xgboost,Spruce/Fir,0.5598958333333334,0.5375,0.548469387755102,800.0
1,xgboost,Lodgepole Pine,0.4872881355932203,0.2875,0.36163522012578614,800.0
1,xgboost,Ponderosa Pine,0.390715667311412,0.2525,0.3067577828397874,800.0
1,xgboost,Cottonwood/Willow,0.5653245686113394,0.86,0.6822012890431334,800.0
1,xgboost,Aspen,0.5912343470483006,0.82625,0.6892596454640251,800.0
1,xgboost,Douglas-fir,0.4885145482388974,0.39875,0.4390915347556779,800.0
1,xgboost,Krummholz,0.7777777777777778,0.83125,0.8036253776435045,800.0
2,naive_bayes,Spruce/Fir,0.5222551928783383,0.66,0.5831032578685809,800.0
