n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,5,0.762936507936508,0.019742771383974435,0.7648071816009925,0.015197002414802872,0.9893055555555555,0.01936541479347801,0.08,0.07774602526460402,0.8624832560160621,0.010762397078372605,0.7689675925925925,0.12088386563992218
10,5,0.8145238095238095,0.04961815646763958,0.8115542912423324,0.04096341333513738,0.985,0.030230595245361765,0.3,0.18678567634829202,0.8891392589097361,0.02789275889025997,0.7956944444444446,0.10357708250327512
25,5,0.832857142857143,0.0442088426528843,0.8382590366771681,0.040860880916953855,0.9672222222222222,0.033925299201715615,0.42666666666666664,0.17178798302300166,0.8972187136387507,0.02560208677585164,0.8138333333333334,0.08305385439440366
50,5,0.837936507936508,0.051820960455734505,0.8465497310035126,0.04825488890797846,0.9629166666666666,0.04105124206779427,0.4600000000000001,0.19652537297311565,0.8997211508071958,0.03057284033309443,0.8223888888888888,0.08154124281512633
75,5,0.837857142857143,0.05339335483125269,0.8481690433898471,0.051487295976013626,0.9606944444444444,0.036977063711721894,0.4666666666666667,0.20655911179772887,0.8996402668926573,0.03101656866076606,0.8256018518518518,0.0812682315727552
100,5,0.837936507936508,0.05340485567082327,0.8482145380033655,0.05112473766826457,0.9608333333333334,0.0413217202921325,0.4666666666666666,0.2065591117977289,0.8996181230216074,0.03143570507010965,0.8252500000000002,0.08281507621455468
150,5,0.8362698412698414,0.05679573802583001,0.8481012476680997,0.05349296877546745,0.9586111111111112,0.04213532725005391,0.4666666666666666,0.214993539954628,0.8985387103212933,0.03357150375653516,0.8344814814814814,0.08161310076657582
200,5,0.827936507936508,0.057346199052155176,0.8431549254894408,0.049689054118879826,0.9519444444444444,0.04601479230759508,0.4533333333333333,0.1973153144926499,0.8929916666861036,0.034490600773286396,0.8371759259259258,0.08389691370741614
250,5,0.8311904761904761,0.05456953790458723,0.8449275446279984,0.04806203692826981,0.9540277777777778,0.04284649062944664,0.4600000000000001,0.1896195020443719,0.8950137983110309,0.032650018088946006,0.8394166666666667,0.08429464102472335
300,5,0.8296031746031746,0.05674913966403112,0.844564699925531,0.04832734620863885,0.9519444444444444,0.04601479230759508,0.4600000000000001,0.1896195020443719,0.8938652834595457,0.03432028642067626,0.8381018518518518,0.08481658628669186
5,10,0.7544444444444445,0.023013683530231113,0.7589756170086233,0.014908917010599314,0.9868055555555555,0.020310570896049596,0.053333333333333344,0.06531972647421809,0.8578911974369167,0.013529526781048896,0.7828333333333333,0.12533428689112786
10,10,0.7745238095238094,0.047392915455520906,0.7802747040347994,0.031819614516805456,0.9759722222222222,0.02999517708146008,0.16666666666666669,0.13743685418725538,0.8669228801614629,0.027333800435777024,0.8171574074074073,0.0982588827630262
25,10,0.8111904761904762,0.06534445622379663,0.8186664696121294,0.05356441613471909,0.9672222222222222,0.03931904950937889,0.33999999999999997,0.22400396821881924,0.8857250777817418,0.03844698396417312,0.8206296296296296,0.09452444687085679
50,10,0.8145238095238095,0.0638206280316817,0.8265628645010189,0.05348218598238304,0.9583333333333334,0.03842983023449171,0.38,0.21715329966536442,0.8865688194876411,0.03768076396034563,0.8240185185185185,0.10663071828654504
75,10,0.8146031746031748,0.06119371864672108,0.8282922781271838,0.054083615188789146,0.95625,0.03862634591526141,0.38666666666666666,0.2246973272847029,0.8864450389714975,0.0355616273600531,0.8326111111111112,0.10295365165731019
100,10,0.8096031746031747,0.0632818444479512,0.8263452785527834,0.05767051817152803,0.9518055555555556,0.03714362556015616,0.38,0.23103631268217942,0.8833505880399711,0.036842337737670025,0.8278055555555556,0.10126694044466499
150,10,0.812857142857143,0.057559985471138206,0.8280030477369712,0.05362905221659114,0.9540277777777778,0.03923678711315393,0.38666666666666666,0.22070593809662464,0.8851967851724977,0.03355428584036523,0.8254629629629632,0.0997504860390193
200,10,0.8128571428571428,0.060386134673209343,0.8280305359720066,0.05485481153583605,0.9540277777777778,0.03923678711315393,0.38666666666666666,0.22469732728470287,0.8852432629951167,0.03517434280632621,0.8273055555555556,0.09491645349842562
250,10,0.8128571428571428,0.060386134673209343,0.8280305359720066,0.05485481153583605,0.9540277777777778,0.03923678711315393,0.38666666666666666,0.22469732728470287,0.8852432629951167,0.03517434280632621,0.8273055555555556,0.09491645349842562
300,10,0.8128571428571428,0.060386134673209343,0.8280305359720066,0.05485481153583605,0.9540277777777778,0.03923678711315393,0.38666666666666666,0.22469732728470287,0.8852432629951167,0.03517434280632621,0.8273055555555556,0.09491645349842562
