n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,5,0.793015873015873,0.04466047271502231,0.8150633310817093,0.03651291244216802,0.9408333333333335,0.051520851586014646,0.3466666666666667,0.15999999999999998,0.8721360472720481,0.027516445987654046,0.7725601851851852,0.09043282519037865
10,5,0.8094444444444445,0.04875296762097517,0.8246709947400694,0.04252872158025643,0.9515277777777778,0.030897393413572713,0.38,0.17397317800933185,0.8828079169128668,0.028150544356383363,0.7888703703703703,0.10328528187163531
25,5,0.8046825396825398,0.06003951205926341,0.8205110907980439,0.04857354371773674,0.9519444444444444,0.04601479230759508,0.36,0.20264912204760882,0.8802402203566467,0.03599547848411646,0.7845555555555556,0.11416471266838847
50,5,0.8145238095238095,0.059308658784385945,0.8259469193748519,0.05383994052094901,0.9606944444444444,0.04314082059064904,0.3733333333333333,0.22548712700383683,0.8867705246434612,0.03463409854635846,0.7970185185185186,0.11610955903032591
75,5,0.812857142857143,0.055596130307921786,0.8252280166259671,0.05019538417223907,0.9584722222222222,0.04039948088225336,0.37333333333333335,0.21333333333333332,0.8855638134006414,0.032150538957808665,0.8060185185185185,0.11298066801142254
100,5,0.8245238095238095,0.06022491856637525,0.8322784306472657,0.05137190724294628,0.9651388888888889,0.03997708641549061,0.4,0.2129162589689508,0.8926666174851914,0.03537315218634551,0.81225,0.10986985730976213
150,5,0.8211904761904762,0.05376367621190532,0.8320257569820599,0.05034580553856862,0.9606944444444444,0.04198053083437372,0.4,0.2129162589689508,0.890316925661334,0.03118946992571528,0.8116944444444444,0.10940280941778784
200,5,0.8261904761904761,0.05640395283747062,0.8375558870650013,0.05584134479710142,0.9606944444444444,0.03828927621200883,0.42000000000000004,0.2310363126821794,0.893323436292041,0.032260858920444786,0.8105648148148148,0.10971773275703572
250,5,0.8228571428571427,0.05385585868537636,0.8338148474566115,0.05259123475503313,0.9606944444444444,0.03828927621200883,0.40666666666666673,0.21592179654268864,0.89134861184635,0.031166175890351297,0.8111018518518518,0.10732021085401548
300,5,0.8211904761904762,0.055291948297064554,0.8324364013413232,0.0539958059597925,0.9606944444444444,0.03828927621200883,0.4,0.22310934040908684,0.8904944087789843,0.03181462944005516,0.814925925925926,0.10281684943018327
350,5,0.8228571428571427,0.05333758486455563,0.8327032145053559,0.05307665425229365,0.9629166666666666,0.03857037219305915,0.4,0.21908902300206645,0.8915913095855117,0.030746729430425505,0.8145185185185186,0.10459469098723913
400,5,0.822857142857143,0.05487772431369891,0.8343344848240749,0.055673711933394106,0.9606944444444444,0.03828927621200883,0.4066666666666666,0.22793761329705012,0.8914587437386601,0.031518078887228795,0.8162777777777777,0.10130778762093001
450,5,0.8261904761904761,0.053367336099512004,0.8350598306834824,0.055218035235155886,0.9651388888888889,0.03997708641549061,0.4066666666666666,0.22793761329705012,0.8936991118330926,0.03061519467306138,0.8181851851851851,0.10071220320199396
500,5,0.8278571428571428,0.055848941873503935,0.8352047582197143,0.05547707206026272,0.9673611111111111,0.03874601731823144,0.4066666666666666,0.22793761329705012,0.8948712730052538,0.03228887102786316,0.8176018518518517,0.10193184106503766
5,25,0.7846031746031746,0.05162660285597902,0.8217117959907718,0.04850749055992443,0.9162500000000001,0.03647281458434083,0.38666666666666666,0.19955506062794354,0.8651908633076214,0.02978750600629749,0.7536759259259259,0.11319932807763959
10,25,0.7764285714285715,0.04697722225111698,0.8234346575860846,0.04344182858616598,0.898611111111111,0.04065911435640124,0.4066666666666666,0.18,0.8581654332552222,0.027502264781679196,0.7949675925925928,0.10775561780984609
25,25,0.8047619047619048,0.05716269496922906,0.8221318683865618,0.05039831545132122,0.9497222222222224,0.03941019639949685,0.36666666666666675,0.20493901531919195,0.8801985046548266,0.03362832591186507,0.8029675925925928,0.10483038845579494
50,25,0.812936507936508,0.05514136988426681,0.830878556141714,0.054041129112064795,0.9495833333333333,0.03880969118183794,0.4,0.22110831935702666,0.8847661673209526,0.031685404028768134,0.8060925925925927,0.1055189166431656
75,25,0.8146031746031748,0.05343952014123226,0.8279687426112451,0.055224474066518946,0.9583333333333333,0.039694045950880566,0.38,0.23103631268217942,0.8866588670788985,0.030206416201227076,0.818287037037037,0.09639789200846806
100,25,0.8295238095238094,0.05318857906835505,0.8400656232582747,0.05086850400057017,0.9606944444444444,0.04198053083437371,0.4333333333333333,0.2092313976863362,0.8948949646736246,0.031225746098225045,0.822875,0.09885785173655003
150,25,0.822936507936508,0.05388935642782898,0.833996887686577,0.052501488022691715,0.9606944444444444,0.04198053083437371,0.4066666666666666,0.2179704363236242,0.8913291077258391,0.031340886321301456,0.8178657407407408,0.10037403140531698
200,25,0.827936507936508,0.055374762514228265,0.8384007786463163,0.051659956525807134,0.9606944444444444,0.036977063711721894,0.42666666666666675,0.21123972690339812,0.8941494880924381,0.032146267966202756,0.8155694444444445,0.09925664221000634
250,25,0.8246031746031746,0.05444004795058209,0.8374871130449474,0.0505176909767673,0.95625,0.03457887075179198,0.42666666666666675,0.20264912204760885,0.8918357918493255,0.03172944921536788,0.8171620370370369,0.0987184167730884
300,25,0.8245238095238095,0.0507098142450845,0.8363893082604494,0.050253554752436806,0.9584722222222222,0.036548895458813235,0.42000000000000004,0.20450482200237288,0.8919769824389727,0.02948644164450855,0.8150046296296296,0.10224970370411288
350,25,0.822936507936508,0.0528483833725733,0.8336760362075548,0.05151256707205584,0.9606944444444444,0.036977063711721894,0.40666666666666673,0.20965580258021854,0.8913712881521396,0.030687401858841595,0.8168611111111111,0.10191239320221568
400,25,0.8212698412698411,0.05328086988773693,0.8344611089265896,0.051029912210099955,0.95625,0.03597865665318677,0.4133333333333334,0.20612833111653742,0.8899924658600638,0.031043118174030798,0.8180138888888887,0.09964629328926108
450,25,0.8245238095238095,0.05179378700077921,0.8374787062838097,0.04976408353830979,0.95625,0.03597865665318677,0.42666666666666664,0.20044395171163878,0.8917363461304438,0.030262754608876227,0.818,0.10046151389977302
500,25,0.8212698412698414,0.054822602662228825,0.8345476890131698,0.051928205973313234,0.95625,0.03597865665318677,0.4133333333333334,0.21039645117412667,0.8900302696404419,0.03186122663444667,0.8174398148148148,0.10080515635711516
5,70,0.7846031746031746,0.05162660285597902,0.8217117959907718,0.04850749055992443,0.9162500000000001,0.03647281458434083,0.38666666666666666,0.19955506062794354,0.8651908633076214,0.02978750600629749,0.7536759259259259,0.11319932807763959
10,70,0.7764285714285715,0.04697722225111698,0.8234346575860846,0.04344182858616598,0.898611111111111,0.04065911435640124,0.4066666666666666,0.18,0.8581654332552222,0.027502264781679196,0.7949675925925928,0.10775561780984609
25,70,0.8047619047619048,0.05716269496922906,0.8221318683865618,0.05039831545132122,0.9497222222222224,0.03941019639949685,0.36666666666666675,0.20493901531919195,0.8801985046548266,0.03362832591186507,0.8029675925925928,0.10483038845579494
50,70,0.812936507936508,0.05514136988426681,0.830878556141714,0.054041129112064795,0.9495833333333333,0.03880969118183794,0.4,0.22110831935702666,0.8847661673209526,0.031685404028768134,0.8060925925925927,0.1055189166431656
75,70,0.8146031746031748,0.05343952014123226,0.8279687426112451,0.055224474066518946,0.9583333333333333,0.039694045950880566,0.38,0.23103631268217942,0.8866588670788985,0.030206416201227076,0.818287037037037,0.09639789200846806
100,70,0.8295238095238094,0.05318857906835505,0.8400656232582747,0.05086850400057017,0.9606944444444444,0.04198053083437371,0.4333333333333333,0.2092313976863362,0.8948949646736246,0.031225746098225045,0.822875,0.09885785173655003
150,70,0.822936507936508,0.05388935642782898,0.833996887686577,0.052501488022691715,0.9606944444444444,0.04198053083437371,0.4066666666666666,0.2179704363236242,0.8913291077258391,0.031340886321301456,0.8178657407407408,0.10037403140531698
200,70,0.827936507936508,0.055374762514228265,0.8384007786463163,0.051659956525807134,0.9606944444444444,0.036977063711721894,0.42666666666666675,0.21123972690339812,0.8941494880924381,0.032146267966202756,0.8155694444444445,0.09925664221000634
250,70,0.8246031746031746,0.05444004795058209,0.8374871130449474,0.0505176909767673,0.95625,0.03457887075179198,0.42666666666666675,0.20264912204760885,0.8918357918493255,0.03172944921536788,0.8171620370370369,0.0987184167730884
300,70,0.8245238095238095,0.0507098142450845,0.8363893082604494,0.050253554752436806,0.9584722222222222,0.036548895458813235,0.42000000000000004,0.20450482200237288,0.8919769824389727,0.02948644164450855,0.8150046296296296,0.10224970370411288
350,70,0.822936507936508,0.0528483833725733,0.8336760362075548,0.05151256707205584,0.9606944444444444,0.036977063711721894,0.40666666666666673,0.20965580258021854,0.8913712881521396,0.030687401858841595,0.8168611111111111,0.10191239320221568
400,70,0.8212698412698411,0.05328086988773693,0.8344611089265896,0.051029912210099955,0.95625,0.03597865665318677,0.4133333333333334,0.20612833111653742,0.8899924658600638,0.031043118174030798,0.8180138888888887,0.09964629328926108
450,70,0.8245238095238095,0.05179378700077921,0.8374787062838097,0.04976408353830979,0.95625,0.03597865665318677,0.42666666666666664,0.20044395171163878,0.8917363461304438,0.030262754608876227,0.818,0.10046151389977302
500,70,0.8212698412698414,0.054822602662228825,0.8345476890131698,0.051928205973313234,0.95625,0.03597865665318677,0.4133333333333334,0.21039645117412667,0.8900302696404419,0.03186122663444667,0.8174398148148148,0.10080515635711516
