feature,f_score,p_value
mean_MFCC_2nd_coef,118.11370579862863,3.0555562371387504e-25
tqwt_kurtosisValue_dec_27,112.83325124333665,2.851641646806124e-24
tqwt_kurtosisValue_dec_26,99.45575520615614,8.847591321993314e-22
std_9th_delta_delta,99.3917229570991,9.096474372017244e-22
std_8th_delta_delta,98.34080310390912,1.4347562096141019e-21
std_7th_delta_delta,93.06106408340088,1.4317895152326106e-20
std_6th_delta_delta,91.99273560047949,2.285782942633236e-20
tqwt_stdValue_dec_12,87.73063690071427,1.4890291026292015e-19
std_8th_delta,86.83761696681776,2.2086175569608313e-19
std_9th_delta,85.54144467644888,3.9179937618279406e-19
tqwt_minValue_dec_12,84.78031091210852,5.488905649600758e-19
tqwt_maxValue_dec_12,82.15903689173128,1.758368902676744e-18
std_6th_delta,80.98706863353813,2.9638836104268654e-18
tqwt_entropy_log_dec_12,77.35725446537676,1.5027334324294052e-17
tqwt_stdValue_dec_11,77.35016499643825,1.5075197474702536e-17
std_11th_delta_delta,77.18941916022891,1.6202473749367785e-17
std_7th_delta,76.04579605826443,2.707899095105086e-17
tqwt_entropy_shannon_dec_16,74.6810751084506,5.0044257454276524e-17
std_10th_delta_delta,73.4614238749735,8.674241906042463e-17
tqwt_entropy_shannon_dec_15,72.96457972452811,1.0856259227800518e-16
tqwt_minValue_dec_13,72.7118705594731,1.2169597505877681e-16
tqwt_stdValue_dec_13,72.04059086120486,1.6486214263946823e-16
f1,71.71208541100731,1.9129154343262217e-16
tqwt_stdValue_dec_15,70.46299630062279,3.3694183552595656e-16
tqwt_maxValue_dec_13,70.22880050899369,3.7472196945180206e-16
tqwt_maxValue_dec_11,68.38820355684533,8.651261680386475e-16
numPeriodsPulses,67.55813231780135,1.262764075013541e-15
numPulses,67.46166691125798,1.319545729689152e-15
std_delta_delta_log_energy,65.85634838162989,2.7464618351788566e-15
tqwt_entropy_shannon_dec_13,65.62482105522297,3.0532310375957294e-15
tqwt_stdValue_dec_16,64.84106687898542,4.370842790995811e-15
app_det_TKEO_mean_10_coef,64.35069992614275,5.472100957952963e-15
app_det_TKEO_mean_8_coef,64.21996771511513,5.810123039297181e-15
app_det_TKEO_mean_9_coef,64.20468896904552,5.85097169641141e-15
app_entropy_shannon_10_coef,64.09327875546431,6.157679520458182e-15
app_entropy_shannon_5_coef,64.07680490385802,6.204381150944434e-15
app_entropy_shannon_6_coef,64.07561148409661,6.2077781488440825e-15
app_entropy_shannon_9_coef,64.06412459326066,6.24057051228305e-15
app_TKEO_std_10_coef,64.05673655628279,6.261753439155641e-15
app_entropy_shannon_8_coef,64.05068238498218,6.279165710111819e-15
app_entropy_shannon_7_coef,64.03601612879389,6.321548759966234e-15
app_TKEO_std_7_coef,64.03246372380865,6.33185774914401e-15
std_11th_delta,64.02817985016007,6.344311889262856e-15
app_entropy_shannon_4_coef,63.98089404193413,6.483426404126448e-15
app_det_TKEO_mean_7_coef,63.96259986770719,6.538065589223815e-15
app_TKEO_std_8_coef,63.89841477158815,6.7334489167678144e-15
app_TKEO_std_9_coef,63.86009043242534,6.852894141191956e-15
app_det_TKEO_mean_6_coef,63.769809121151106,7.142748396888366e-15
app_entropy_shannon_3_coef,63.62099214647569,7.647647400587255e-15
app_det_TKEO_mean_5_coef,63.28243747579937,8.933832176827251e-15
app_entropy_shannon_2_coef,63.22621962207449,9.167519143069455e-15
app_entropy_shannon_1_coef,62.81591682561766,1.1069551357737005e-14
tqwt_minValue_dec_11,62.413522305056176,1.3319468792264311e-14
tqwt_entropy_shannon_dec_17,61.78027947587294,1.7826160698371973e-14
app_TKEO_std_6_coef,61.72404345603148,1.829384119820131e-14
app_TKEO_std_5_coef,61.53896007948695,1.9921820536135218e-14
tqwt_energy_dec_15,61.321833836455106,2.2018023160185354e-14
std_12th_delta_delta,61.10141077796111,2.4372736804479973e-14
tqwt_stdValue_dec_14,61.04343207895883,2.5033049480418347e-14
app_det_TKEO_mean_4_coef,60.928448108462625,2.63961910018921e-14
std_10th_delta,60.61677170371912,3.047777311449854e-14
tqwt_TKEO_std_dec_12,59.6122996513644,4.846803421422979e-14
app_LT_TKEO_std_7_coef,59.307079504067104,5.5814369463653584e-14
tqwt_entropy_log_dec_16,59.030964008527974,6.341921097443334e-14
app_LT_TKEO_std_8_coef,58.84359525058536,6.916413035681122e-14
tqwt_kurtosisValue_dec_28,58.696798354477146,7.40278387861359e-14
app_LT_TKEO_mean_8_coef,58.69082151129794,7.423298155948974e-14
app_LT_TKEO_mean_9_coef,58.665345903915224,7.511379877954642e-14
app_LT_TKEO_mean_10_coef,58.50398165606832,8.094190893177209e-14
app_LT_TKEO_std_10_coef,58.486099961930314,8.161507792143479e-14
app_LT_TKEO_std_9_coef,58.249491438791416,9.107008517382057e-14
tqwt_entropy_log_dec_13,58.1832633440823,9.390838267977354e-14
tqwt_entropy_shannon_dec_12,58.15521839338597,9.51368951936816e-14
tqwt_TKEO_mean_dec_16,58.152879453588724,9.524007873031499e-14
tqwt_entropy_shannon_dec_11,57.92961468139159,1.0562496789466562e-13
app_LT_TKEO_mean_7_coef,57.91740320408154,1.0622469143272226e-13
app_LT_entropy_shannon_5_coef,57.6859803254055,1.1825913205227414e-13
app_LT_entropy_shannon_4_coef,57.64857926770365,1.2032868773014132e-13
tqwt_stdValue_dec_7,57.63760909942369,1.2094258071317487e-13
app_LT_entropy_shannon_6_coef,57.39593517482119,1.352938109258557e-13
tqwt_entropy_shannon_dec_14,57.35402917939286,1.379508508844781e-13
app_LT_TKEO_mean_6_coef,57.23023145641579,1.461101614169328e-13
app_LT_TKEO_std_5_coef,56.96788883359178,1.650379138023102e-13
app_LT_entropy_shannon_7_coef,56.93895500015371,1.6727073895566226e-13
app_LT_entropy_shannon_3_coef,56.56163901410442,1.9932252506410834e-13
app_LT_entropy_shannon_8_coef,56.463839830311564,2.08592737030494e-13
app_LT_TKEO_std_6_coef,56.45715133071336,2.0924231835636835e-13
app_LT_entropy_shannon_9_coef,56.436521411375594,2.112586979174891e-13
app_LT_entropy_shannon_10_coef,56.41677536882659,2.1320695594337645e-13
app_TKEO_std_4_coef,56.41428360491777,2.1345408594481737e-13
tqwt_TKEO_mean_dec_15,55.96094606908726,2.635566610039466e-13
tqwt_minValue_dec_14,55.90858622808741,2.7005672569593773e-13
app_LT_TKEO_mean_5_coef,55.79648067896252,2.845200897435009e-13
f2,55.555358892084634,3.183188287073303e-13
app_LT_entropy_shannon_2_coef,55.39686153178428,3.427035300785557e-13
app_LT_TKEO_std_4_coef,55.26253355354835,3.648327324339941e-13
tqwt_maxValue_dec_14,55.13103958330306,3.878842364051331e-13
tqwt_entropy_log_dec_27,54.870254869847805,4.380179163679706e-13
app_entropy_log_6_coef,54.79331348228573,4.5401652725335346e-13
tqwt_TKEO_std_dec_11,54.66477764646509,4.820628402726347e-13
app_LT_entropy_shannon_1_coef,54.64756238286219,4.859489839276492e-13
app_entropy_log_9_coef,54.642451483889914,4.871087527435133e-13
app_entropy_log_8_coef,54.63197858207251,4.894939594471471e-13
app_entropy_log_10_coef,54.592834756391596,4.985132627855294e-13
app_entropy_log_7_coef,54.572413254124235,5.032847078277495e-13
RPDE,53.948645100265416,6.733677939421396e-13
tqwt_entropy_log_dec_11,53.23957753022225,9.379026814045065e-13
tqwt_TKEO_std_dec_14,53.08242525123642,1.009432807028672e-12
std_5th_delta_delta,53.053957831673124,1.0229643684131093e-12
app_det_TKEO_mean_3_coef,52.90945418337718,1.0945126911723417e-12
tqwt_entropy_log_dec_15,52.829092419960304,1.1364547175271128e-12
tqwt_TKEO_std_dec_15,52.350980217971085,1.4215620995892502e-12
VFER_entropy,52.350449853971284,1.4219152832649665e-12
app_LT_entropy_log_9_coef,51.634982196787966,1.9884315392111446e-12
app_LT_entropy_log_8_coef,51.633419376191206,1.9898895723259083e-12
app_LT_entropy_log_10_coef,51.63124767941512,1.991917438647804e-12
app_LT_TKEO_std_3_coef,51.597383560443724,2.023808528126633e-12
std_4th_delta_delta,51.531501009956386,2.0873289083367438e-12
app_entropy_log_5_coef,51.27985007478979,2.3489404756553187e-12
tqwt_entropy_log_dec_26,51.27031021218425,2.3594811394682567e-12
DFA,51.151227102544105,2.4951233031441723e-12
std_4th_delta,50.73716216395331,3.030700125779567e-12
app_LT_TKEO_mean_4_coef,50.70390262764016,3.0784301610248243e-12
tqwt_entropy_log_dec_35,50.36039426204907,3.6177984286674184e-12
tqwt_stdValue_dec_8,50.212838572673455,3.8777216759609136e-12
std_5th_delta,49.54698166120068,5.304641159683429e-12
tqwt_energy_dec_16,49.27684964080279,6.024366823390038e-12
app_TKEO_std_3_coef,49.135818530850464,6.4382910163424626e-12
tqwt_entropy_log_dec_34,48.70098613851274,7.903136108084084e-12
tqwt_entropy_log_dec_7,48.36753971526625,9.24955133354563e-12
tqwt_kurtosisValue_dec_36,48.32995305837172,9.415094936248822e-12
std_delta_log_energy,47.850528852019785,1.1807013841783545e-11
std_12th_delta,47.47319108186861,1.4111878436429631e-11
tqwt_energy_dec_13,46.82970877731372,1.9133053313193816e-11
VFER_mean,46.825809072624466,1.916840417849718e-11
tqwt_energy_dec_14,46.12321273938074,2.6737533692641467e-11
app_LT_entropy_log_7_coef,45.98952139553932,2.848698115906553e-11
tqwt_energy_dec_12,45.9578483972187,2.8918016201656827e-11
std_MFCC_8th_coef,45.51500808879618,3.567799541581235e-11
app_entropy_log_4_coef,45.22628838617818,4.091893202993373e-11
app_LT_TKEO_std_2_coef,44.92760319546702,4.715618281984306e-11
tqwt_entropy_log_dec_17,44.83121633575058,4.936619583087411e-11
tqwt_entropy_log_dec_14,44.4677918009697,5.867630867838231e-11
app_TKEO_std_2_coef,44.351953669277606,6.199981073652166e-11
meanPeriodPulses,44.16979661374551,6.761266729179757e-11
app_LT_entropy_log_6_coef,44.03706092860291,7.202162288262717e-11
std_MFCC_6th_coef,43.903032000948436,7.676663049299898e-11
tqwt_entropy_log_dec_8,43.612593373843985,8.815448905450851e-11
minIntensity,43.18477303381578,1.0809252838420877e-10
tqwt_entropy_log_dec_28,42.966291503956384,1.199629662318256e-10
tqwt_TKEO_std_dec_13,42.812834397432084,1.2907526368224667e-10
tqwt_energy_dec_11,42.78660402572385,1.3070098715768555e-10
tqwt_maxValue_dec_15,42.28502736968057,1.6606541909665944e-10
app_LT_TKEO_mean_3_coef,42.02927938268025,1.876501860271645e-10
tqwt_minValue_dec_15,41.610285132544455,2.2927372120794222e-10
tqwt_TKEO_std_dec_16,41.33374851193378,2.6170935043269375e-10
tqwt_stdValue_dec_10,40.8411531443703,3.313322569373606e-10
tqwt_stdValue_dec_9,40.5884671378552,3.739861336478164e-10
tqwt_entropy_log_dec_6,40.55509359833115,3.800175485413943e-10
tqwt_TKEO_mean_dec_11,39.76629806777842,5.54840475730373e-10
app_det_TKEO_mean_2_coef,39.63225929505002,5.917327868418029e-10
app_entropy_log_3_coef,38.47775463554572,1.0310069084434357e-09
meanIntensity,38.11546198131963,1.2275966719897706e-09
