k,model,class,precision,recall,f1_score,support
1,naive_bayes,Healthy,0.6170212765957447,0.19333333333333333,0.29441624365482233,150.0
1,naive_bayes,PD,0.7823741007194245,0.9602649006622517,0.8622398414271556,453.0
1,knn,Healthy,0.3108108108108108,0.15333333333333332,0.20535714285714285,150.0
1,knn,PD,0.7599243856332704,0.8874172185430463,0.8187372708757638,453.0
1,decision_tree,Healthy,0.37142857142857144,0.3466666666666667,0.3586206896551724,150.0
1,decision_tree,PD,0.7883369330453563,0.8057395143487859,0.7969432314410481,453.0
1,random_forest,Healthy,0.3722627737226277,0.34,0.3554006968641115,150.0
1,random_forest,PD,0.7875536480686696,0.8101545253863135,0.7986942328618063,453.0
1,gradient_boosting,Healthy,0.49056603773584906,0.17333333333333334,0.2561576354679803,150.0
1,gradient_boosting,PD,0.7745454545454545,0.9403973509933775,0.8494516450648056,453.0
1,xgboost,Healthy,0.3466666666666667,0.17333333333333334,0.2311111111111111,150.0
1,xgboost,PD,0.7651515151515151,0.891832229580574,0.8236493374108053,453.0
2,naive_bayes,Healthy,0.6046511627906976,0.3466666666666667,0.4406779661016949,150.0
2,naive_bayes,PD,0.8104448742746615,0.9249448123620309,0.8639175257731959,453.0
2,knn,Healthy,0.5357142857142857,0.3,0.38461538461538464,150.0
2,knn,PD,0.7976878612716763,0.9139072847682119,0.8518518518518519,453.0
2,decision_tree,Healthy,0.3722627737226277,0.34,0.3554006968641115,150.0
2,decision_tree,PD,0.7875536480686696,0.8101545253863135,0.7986942328618063,453.0
2,random_forest,Healthy,0.4811320754716981,0.34,0.3984375,150.0
2,random_forest,PD,0.8008048289738431,0.8785871964679912,0.8378947368421052,453.0
2,gradient_boosting,Healthy,0.5057471264367817,0.29333333333333333,0.37130801687763715,150.0
2,gradient_boosting,PD,0.7945736434108527,0.9050772626931567,0.846233230134159,453.0
2,xgboost,Healthy,0.4,0.30666666666666664,0.3471698113207547,150.0
2,xgboost,PD,0.7868852459016393,0.847682119205298,0.8161530286928799,453.0
3,naive_bayes,Healthy,0.5625,0.36,0.43902439024390244,150.0
3,naive_bayes,PD,0.8106508875739645,0.9072847682119205,0.85625,453.0
3,knn,Healthy,0.6565656565656566,0.43333333333333335,0.5220883534136547,150.0
3,knn,PD,0.8313492063492064,0.9249448123620309,0.8756530825496343,453.0
3,decision_tree,Healthy,0.3586206896551724,0.3466666666666667,0.3525423728813559,150.0
3,decision_tree,PD,0.7860262008733624,0.7947019867549668,0.7903402854006586,453.0
3,random_forest,Healthy,0.580952380952381,0.4066666666666667,0.47843137254901963,150.0
3,random_forest,PD,0.821285140562249,0.9028697571743929,0.8601472134595163,453.0
3,gradient_boosting,Healthy,0.5789473684210527,0.36666666666666664,0.4489795918367347,150.0
3,gradient_boosting,PD,0.812992125984252,0.9116997792494481,0.8595213319458896,453.0
3,xgboost,Healthy,0.5327868852459017,0.43333333333333335,0.47794117647058826,150.0
3,xgboost,PD,0.8232848232848233,0.8741721854304636,0.8479657387580299,453.0
4,naive_bayes,Healthy,0.6304347826086957,0.38666666666666666,0.4793388429752066,150.0
4,naive_bayes,PD,0.8199608610567515,0.9249448123620309,0.8692946058091287,453.0
4,knn,Healthy,0.6333333333333333,0.38,0.475,150.0
4,knn,PD,0.8187134502923976,0.9271523178807947,0.8695652173913043,453.0
4,decision_tree,Healthy,0.41134751773049644,0.38666666666666666,0.39862542955326463,150.0
4,decision_tree,PD,0.8008658008658008,0.8167770419426048,0.8087431693989071,453.0
4,random_forest,Healthy,0.5981308411214953,0.4266666666666667,0.4980544747081712,150.0
4,random_forest,PD,0.8266129032258065,0.9050772626931567,0.8640674394099052,453.0
4,gradient_boosting,Healthy,0.5918367346938775,0.38666666666666666,0.46774193548387094,150.0
4,gradient_boosting,PD,0.8178217821782178,0.9116997792494481,0.8622129436325678,453.0
4,xgboost,Healthy,0.5779816513761468,0.42,0.4864864864864865,150.0
4,xgboost,PD,0.8238866396761133,0.8984547461368654,0.8595564941921858,453.0
5,naive_bayes,Healthy,0.5546875,0.47333333333333333,0.5107913669064749,150.0
5,naive_bayes,PD,0.8336842105263158,0.8741721854304636,0.853448275862069,453.0
5,knn,Healthy,0.5729166666666666,0.36666666666666664,0.44715447154471544,150.0
5,knn,PD,0.8126232741617357,0.9094922737306843,0.8583333333333333,453.0
